"","X","dvcat","weight","airbag","seatbelt","frontal","sex","ageOFocc","yearacc","yearVeh","abcat","occRole","deploy","injSeverity","dead"
"2635",24904,1,25.4889999998,0,1,1,1,31,2002,1990,2,1,0,0,"1"
"11465",1367,1,569.456999995,0,1,0,0,47,1997,1990,2,1,0,1,"1"
"3821",21670,1,22.335,1,0,1,0,27,2002,1999,1,0,1,3,"1"
"4783",4189,2,130.887999998,1,0,1,0,23,1998,1994,0,1,0,2,"1"
"5816",23368,2,1,1,0,1,1,18,2002,2001,1,1,1,2,"1"
"10618",9806,1,2258.64799997,0,1,1,0,36,1999,1989,2,1,0,0,"1"
"10524",3166,4,18.5019999999,0,0,1,1,19,1997,1980,2,1,0,2,"1"
"2073",3097,3,23.4939999999,1,0,1,0,16,1997,1993,1,1,1,1,"1"
"4556",6449,1,47.5029999996,0,1,0,0,71,1998,1992,2,0,0,3,"1"
"2148",13792,2,50.2209999999,1,0,1,1,60,2000,1998,0,0,0,3,"1"
"13855",20469,1,101.085999999,1,1,1,0,21,2001,1998,1,1,1,0,"1"
"3938",5702,2,86.9859999996,0,0,1,1,41,1998,1988,2,1,0,1,"1"
"14901",2685,1,1883.007,0,1,1,1,46,1997,1980,2,0,0,0,"1"
"17289",6585,1,783.380999997,1,1,1,1,73,1998,1993,1,1,1,0,"1"
"3014",9178,3,55.6529999999,0,1,1,0,28,1999,1986,2,1,0,0,"1"
"17462",2506,0,25688.3709998,1,1,0,1,36,1997,1993,0,1,0,0,"1"
"9871",2612,2,306.150999997,1,0,1,1,22,1997,1996,1,0,1,0,"1"
"1071",23031,1,74.9739999995,1,1,0,1,19,2002,2001,0,0,0,3,"1"
"18174",14839,3,246.268999999,1,1,1,0,21,2000,1999,1,0,1,2,"1"
"4289",17241,1,401.959999997,1,0,0,1,24,2000,1993,0,0,0,0,"1"
"12085",18093,1,19.0159999998,0,1,0,0,50,2001,1991,2,1,0,0,"1"
"14243",24603,2,9.789,1,1,1,0,19,2002,2002,1,1,1,3,"1"
"8389",8655,2,441.800999999,0,1,0,1,17,1999,1987,2,1,0,0,"1"
"12389",17848,1,175.698999999,1,1,0,1,16,2001,1995,1,1,1,1,"1"
"9036",10350,1,261.234999999,0,1,0,0,16,1999,1993,2,0,0,1,"1"
"4040",5898,2,70.6919999998,1,1,1,1,70,1998,1997,1,1,1,3,"1"
"13299",3452,1,44.6689999998,1,1,1,1,43,1997,1994,1,1,1,2,"1"
"17670",10664,2,141.182999998,0,1,1,1,32,1999,1988,2,1,0,3,"1"
"6659",5062,0,659.058999993,0,0,1,1,20,1998,1981,2,1,0,2,"1"
"12279",3494,1,112.699999999,0,1,1,0,17,1997,1973,2,1,0,3,"1"
"1232",11992,1,286.224999998,1,1,0,1,26,1999,1999,0,1,0,2,"1"
"2163",954,3,21.852,1,1,1,0,59,1997,1992,1,1,1,3,"1"
"13681",3101,2,840.897999994,0,0,0,0,38,1997,1990,2,1,0,1,"1"
"8286",13447,1,231.705999998,0,1,1,1,26,2000,1988,2,1,0,0,"1"
"12477",16188,3,42.4689999996,1,1,0,0,50,2000,1993,0,1,0,0,"1"
"7068",23554,1,223.253999999,1,0,1,0,19,2002,1999,1,1,1,0,"1"
"1204",7122,2,17.132,0,0,1,0,88,1998,1989,2,1,0,3,"1"
"7398",962,1,39.1549999998,0,1,0,1,42,1997,1988,2,1,0,3,"1"
"8442",17763,1,89.8359999992,1,1,0,1,53,2001,1995,0,1,0,0,"1"
"16706",3756,3,1.665,0,0,1,1,22,1997,1989,2,1,0,2,"1"
"3312",19622,3,256.362,1,1,1,0,26,2001,1998,1,1,1,3,"1"
"6912",22236,2,28.8459999999,1,1,1,1,69,2002,1994,1,1,1,3,"1"
"18092",12055,2,40.6609999998,1,1,1,0,61,1999,1995,1,1,1,3,"1"
